,offering_price,stock_market,company_size,sales,profit_before_tax,income,capital,offering_number,par_value,old_sales_ratio,general_competition_rate,offering_price_total,subscription_limit,ownership_ratio,institutional_ratio,subscription_margin_rate,institutional_competition_rate,obligatory,desired_offering_price,manager_rank,topic,label
0,43000,1,2,43973,16980,14264,2535,2218258,200,0.0,823.74,95385,27000,5.96,69.04,1,1669.6,49.52,2,3.0,4,0
1,9800,1,2,12014,2288,2134,1239,2000000,100,0.0,1785.11,19600,25000,0.78,74.22,1,1715.41,6.06,1,1.0,3,1
2,15000,1,2,12273,-2833,-1686,5048,1500000,500,0.0,53.06,22500,10000,5.0,75.0,1,86.44,3.69,0,6.0,3,0
3,2000,1,2,0,0,0,588,5000000,100,0.0,11.23,10000,80000,0.0,75.0,0,21.25,0.0,1,7.0,2,0
4,12000,1,2,35980,10067,852,1099,2500000,100,0.0,1481.83,30000,31000,0.0,75.0,1,1688.87,8.24,1,1.0,2,0
5,18000,1,2,8868,-5249,-5242,5496,750000,500,0.0,994.8,13500,9000,0.0,75.0,1,854.29,1.94,1,1.0,3,0
6,18200,1,2,22856,711,1286,2597,860000,500,0.0,266.16,15652,21000,0.0,75.0,1,363.22,3.85,1,11.0,3,0
7,15500,1,2,31707,4976,4208,2959,1000000,500,0.0,1636.63,15500,8000,0.0,75.0,1,1716.98,10.83,1,2.0,3,0
8,5000,0,2,0,0,0,38650,23780000,500,0.0,1.87,118900,0,0.0,60.0,1,24.0,8.03,1,2.0,1,0
9,2000,1,2,0,0,0,492,4500000,100,0.0,35.13,9000,55000,0.0,75.0,0,168.97,1.77,1,1.0,0,0
10,2000,1,2,0,0,0,443,4000000,100,0.0,51.76,8000,50000,0.0,75.0,0,334.37,0.0,1,16.0,2,0
11,2000,1,2,0,0,0,562,5000000,100,0.0,2.45,10000,100000,0.0,75.0,0,37.12,0.0,1,8.0,2,0
12,13000,1,2,5600,-150742,-150742,11002,2000000,500,0.0,262.2,26000,10000,0.0,75.0,1,26.7,0.23,0,3.0,1,0
13,5100,1,2,49373,31137,24,23217,4618047,1000,33.33,1165.75,23552,57000,0.0,75.0,1,1298.41,2.84,1,1.0,4,0
14,5000,2,2,0,0,0,35300,23200000,500,0.0,0.53,116000,0,0.0,70.0,1,7.2,55.78,1,2.0,1,0
15,2000,1,2,0,0,0,477,4500000,100,0.0,1.53,9000,55000,0.0,75.0,0,118.23,2.56,1,10.0,2,0
16,10000,1,2,0,0,0,3840,7000000,500,0.0,0.45,70000,85000,0.0,75.0,0,63.11,1.58,1,1.0,0,0
17,10000,1,2,152026,4968,3866,6059,3007320,500,0.0,1312.1,30073,37000,0.0,75.0,1,1613.16,18.19,2,3.0,2,0
18,2000,1,2,0,0,0,392,3400000,100,0.0,374.56,6800,85000,0.0,75.0,0,687.65,6.4,1,4.0,2,0
19,22000,1,2,14324,1062,1170,3098,930000,500,0.0,1030.65,20460,21000,7.5,75.0,1,1702.43,11.42,2,12.0,4,1
20,2000,1,2,0,0,0,603,5500000,100,0.0,75.97,11000,100000,0.0,75.0,0,656.25,0.0,1,8.0,2,0
21,13000,1,2,27044,4859,4521,9577,2050000,500,0.0,1637.43,26650,17000,0.0,75.0,1,1723.21,25.64,1,2.0,4,1
22,10000,1,2,0,0,0,2332,4000000,500,0.0,170.79,40000,50000,0.0,75.0,0,992.31,4.33,1,3.0,2,0
23,21000,1,2,30555,7099,6234,2398,650000,500,0.0,1034.74,13650,16250,0.0,75.0,1,1594.95,0.0,1,15.0,1,1
24,2000,1,2,0,0,0,973,8500000,100,0.0,16.36,17000,105000,0.0,75.0,0,249.34,14.03,1,10.0,2,0
25,2000,1,2,0,0,0,0,4650000,100,0.0,253.85,9300,55000,0.0,75.0,0,525.89,2.47,1,1.0,0,1
26,3000,1,2,9385,2436,2258,1203,2600000,100,0.0,1643.88,7800,30000,0.0,75.0,1,1603.33,6.36,1,16.0,0,1
27,13000,1,2,78703,-15143,-14605,3133,4000000,100,0.0,142.47,52000,30000,15.0,60.0,1,352.61,4.33,1,2.0,0,0
28,10500,1,2,5414,546,734,1509,3700000,100,18.92,868.07,38850,50000,0.0,75.0,1,1325.79,1.41,1,7.0,3,1
