,company,listing_data,offering_price,starting_price,label,closing_price,stock_market,company_size,sales,profit_before_tax,income,capital,offering_number,par_value,old_sales_ratio,general_competition_rate,offering_price_total,subscription_limit,offering_date,ownership_ratio,institutional_ratio,subscription_margin_rate,institutional_competition_rate,obligatory,desired_offering_price_min,desired_offering_price_max,desired_offering_price,manager,manager_rank,topic,topic_per,each_topic_per
0,기가비스,2023-05-24,43000,71200,0,79000,코스닥,중소일반,43973,16980,14264,2535,2218258,200,0.0,823.74,95385,27000,2023-05-16,5.96,69.04,50%,1669.6,49.52,34400,39700,2,삼성,3.0,4,0.6872,"[(0, 0.24806571), (1, 0.021347282), (2, 0.018022176), (3, 0.025325477), (4, 0.6872394)]"
1,모니터랩,2023-05-19,9800,19600,1,14200,코스닥,중소일반,12014,2288,2134,1239,2000000,100,0.0,1785.11,19600,25000,2023-05-11,0.78,74.22,50%,1715.41,6.06,7500,9800,1,미래에셋,1.0,3,0.886,"[(0, 0.03418873), (1, 0.027420064), (2, 0.023148704), (3, 0.8859616), (4, 0.029280894)]"
2,씨유박스,2023-05-19,15000,15680,0,13920,코스닥,중소일반,12273,-2833,-1686,5048,1500000,500,0.0,53.06,22500,10000,2023-05-10,5.0,75.0,50%,86.44,3.69,17200,23200,0,신한,6.0,3,0.886,"[(0, 0.034188733), (1, 0.027420066), (2, 0.023148706), (3, 0.8859616), (4, 0.029280895)]"
3,키움스팩8호,2023-05-17,2000,2050,0,2070,코스닥,중소일반,0,0,0,588,5000000,100,0.0,11.23,10000,80000,2023-05-09,0.0,75.0,100%,21.25,0.0,2000,2000,1,키움,7.0,2,0.8766,"[(0, 0.03419248), (1, 0.027420098), (2, 0.8765752), (3, 0.03253053), (4, 0.029281722)]"
4,트루엔,2023-05-17,12000,19340,0,17200,코스닥,중소일반,35980,10067,852,1099,2500000,100,0.0,1481.83,30000,31000,2023-05-09,0.0,75.0,50%,1688.87,8.24,10000,12000,1,미래에셋,1.0,2,0.8765,"[(0, 0.034239676), (1, 0.027420655), (2, 0.8765275), (3, 0.032530684), (4, 0.02928148)]"
5,에스바이오메딕스,2023-05-04,18000,23150,0,18830,코스닥,중소일반,8868,-5249,-5242,5496,750000,500,0.0,994.8,13500,9000,2023-04-25,0.0,75.0,50%,854.29,1.94,16000,18000,1,미래에셋,1.0,3,0.7354,"[(0, 0.079316005), (1, 0.06361305), (2, 0.05370358), (3, 0.7354373), (4, 0.06793008)]"
6,토마토시스템,2023-04-27,18200,18100,0,14650,코스닥,중소일반,22856,711,1286,2597,860000,500,0.0,266.16,15652,21000,2023-04-19,0.0,75.0,50%,363.22,3.85,18200,22200,1,교보,11.0,3,0.886,"[(0, 0.034188733), (1, 0.027420066), (2, 0.023148712), (3, 0.8859616), (4, 0.029280895)]"
7,마이크로투나노,2023-04-26,15500,25200,0,20650,코스닥,중소일반,31707,4976,4208,2959,1000000,500,0.0,1636.63,15500,8000,2023-04-18,0.0,75.0,50%,1716.98,10.83,13500,15500,1,한국,2.0,3,0.4431,"[(0, 0.04778165), (1, 0.038321856), (2, 0.032352176), (3, 0.4430967), (4, 0.43844768)]"
8,삼성FN리츠,2023-04-10,5000,4790,0,4855,거래소,중소일반,0,0,0,38650,23780000,500,0.0,1.87,118900,0,2023-03-28,0.0,60.0,50%,24.0,8.03,5000,5000,1,한국,2.0,1,0.8335,"[(0, 0.047781788), (1, 0.8334727), (2, 0.032352258), (3, 0.04547066), (4, 0.040922627)]"
9,미래에셋비전스팩3호,2023-04-07,2000,2005,0,0,코스닥,중소일반,0,0,0,492,4500000,100,0.0,35.13,9000,55000,2023-03-29,0.0,75.0,100%,168.97,1.77,2000,2000,1,미래에셋,1.0,0,0.8429,"[(0, 0.84294015), (1, 0.038321782), (2, 0.03235235), (3, 0.04546328), (4, 0.040922444)]"
10,IBKS스팩22호,2023-04-06,2000,2055,0,2090,코스닥,중소일반,0,0,0,443,4000000,100,0.0,51.76,8000,50000,2023-03-28,0.0,75.0,100%,334.37,0.0,2000,2000,1,IBK,16.0,2,0.8766,"[(0, 0.03419259), (1, 0.027420094), (2, 0.87657505), (3, 0.032530528), (4, 0.029281748)]"
11,하나스팩27호,2023-04-06,2000,2000,0,2005,코스닥,중소일반,0,0,0,562,5000000,100,0.0,2.45,10000,100000,2023-03-28,0.0,75.0,100%,37.12,0.0,2000,2000,1,하나,8.0,2,0.8766,"[(0, 0.034192707), (1, 0.027420098), (2, 0.87657493), (3, 0.03253053), (4, 0.029281707)]"
12,지아이이노베이션,2023-03-30,13000,18950,0,20250,코스닥,중소일반,5600,-150742,-150742,11002,2000000,500,0.0,262.2,26000,10000,2023-03-22,0.0,75.0,50%,26.7,0.23,16000,21000,0,삼성,3.0,1,0.8809,"[(0, 0.03418874), (1, 0.88085175), (2, 0.023148648), (3, 0.03252997), (4, 0.029280903)]"
13,엘비인베스트먼트,2023-03-29,5100,6500,0,8450,코스닥,중소일반,49373,31137,24,23217,4618047,1000,33.33,1165.75,23552,57000,2023-03-21,0.0,75.0,50%,1298.41,2.84,4400,5100,1,미래에셋,1.0,4,0.7279,"[(0, 0.07931774), (1, 0.0636143), (2, 0.0537046), (3, 0.07546932), (4, 0.727894)]"
14,한화위탁관리부동산투자회사,2023-03-27,5000,4900,0,4510,코스피,중소일반,0,0,0,35300,23200000,500,0.0,0.53,116000,0,2023-03-14,0.0,70.0,50%,7.2,55.78,5000,5000,1,한국,2.0,1,0.8335,"[(0, 0.047781788), (1, 0.8334727), (2, 0.032352258), (3, 0.045470662), (4, 0.040922627)]"
