,종목명,진행상황,시장구분,종목코드,업종,대표자,기업구분,본점소재지,홈페이지,대표전화,최대주주,매출액,법인세비용차감전계속사업이익,순이익,자본금,총공모주식수,액면가,상장공모,희망공모가액,청약경쟁률,확정공모가,공모금액,주간사,주식수,청약한도,공모청약일,우리사주조합,우리사주조합 청약증거금율,기관투자자등,기관투자자 최고한도,일반투자자 청약증거금율,기관경쟁률,의무보유확약
0,교보스팩14호,공모주,코스닥,456490,기타 금융업,박상연,중소일반,"서울특별시 영등포구 의사당대로 97, 17층",,,지오원 86%,- (백만원),0 (백만원),- (백만원),35 (백만원),"3,850,000 주",100 원,"신주모집 : 3,850,000 주 (100%)","2,000 ~ 2,000 원",,- 원,"7,700 (백만원)",교보증권,"962,500~1,155,000 주","48,000~54,000 주",2023.06.26 ~  2023.06.27,주,100%,"2,695,000~2,887,500 주 (70~75%)",- 주,100%,,0.00%
1,버넥트,공모주,코스닥,438700,응용소프트웨어 개발 및 공급업,하태진,중소일반,"서울 용산구 한강대로7길 10-15 (한강로3가,버넥트 익스피리언스 센터)",virnect.com,070-7733-2025,하태진 44%,"3,569 (백만원)","-8,976 (백만원)","-8,976 (백만원)","4,446 (백만원)","1,600,000 주",500 원,"신주모집 : 1,600,000 주 (100%)","11,500 ~ 13,600 원",,- 원,"18,400 (백만원)",대신증권,"400,000~480,000 주","20,000~24,000 주",2023.06.26 ~  2023.06.27,주,100%,"1,120,000~1,200,000 주 (70~75%)",- 주,50%,,0.00%
2,에이엘티,공모주,코스닥,172670,전자부품 제조업,천병태,중소일반,충청북도 청원군 옥산면 과학산업1로 82-19,www.alt-s.kr,0437112511,천병태  22%,"31,695 (백만원)","7,091 (백만원)","4,941 (백만원)","3,781 (백만원)","900,000 주",500 원,"신주모집 : 900,000 주 (100%)","16,700 ~ 20,500 원",,- 원,"15,030 (백만원)",미래에셋증권,"225,000~270,000 주","11,000~13,500 주",2023.06.26 ~  2023.06.27,주,100%,"630,000~675,000 주 (70~75%)",- 주,50%,,0.00%
3,오픈놀,공모주,코스닥,440320,소프트웨어 개발 및 공급업,권인택,중소일반,서울특별시 영등포구 양평로 2(당산동6가),openknowl.com/,,권인택 49%,"10,866 (백만원)",14 (백만원),31 (백만원),852 (백만원),"1,650,000 주",100 원,"신주모집 : 1,234,030 주 (74.79%)
	/  구주매출 : 415,970 주 (25.21%)","11,000 ~ 13,500 원",,- 원,"18,150 (백만원)",하나증권,"412,500~495,000 주","20,000~24,000 주",2023.06.21 ~  2023.06.22,주,100%,"1,155,000~1,237,500 주 (70~75%)",- 주,50%,,0.00%
4,파로스아이바이오,공모주,코스닥,388870,자연과학 및 공학 연구개발업,윤정혁,중소일반,"경기도 안양시 동안구 흥안대로427번길 38, 1408호(관양동, 인덕원성지스타위드)",www.pharosibio.com,031-345-6170,-,57 (백만원),"-30,650 (백만원)","-30,650 (백만원)","5,738 (백만원)","1,400,000 주",500 원,"신주모집 : 1,400,000 주 (100%)","14,000 ~ 18,000 원",,- 원,"19,600 (백만원)",한국투자증권,"350,000~420,000 주","350,000~420,000 주",2023.06.20 ~  2023.06.21,주,100%,"980,000~1,050,000 주 (70~75%)",- 주,50%,,0.00%
5,알멕,공모주,코스닥,354320,1차 비철금속 제조업,신상호,중소일반,경남 창원시 성산구 공단로 148 (신촌동),www.almac.co.kr,055-260-0400,다이엑스 32%,"83,653 (백만원)","-14,627 (백만원)","-12,369 (백만원)","2,685 (백만원)","1,000,000 주",500 원,"신주모집 : 1,000,000 주 (100%)","40,000 ~ 45,000 원",,- 원,"40,000 (백만원)",NH투자증권,"250,000~300,000 주","10,000~12,000 주",2023.06.20 ~  2023.06.21,"150,000 주  (15%)",100%,"550,000~750,000 주 (55~75%)",- 주,50%,,0.00%
6,하나스팩29호,공모주,코스닥,454640,금융 지원 서비스업,윤경순,중소일반,서울특별시 영등포구 의사당대로 82,,,메이플투자파트너스 55%,- (백만원),0 (백만원),- (백만원),90 (백만원),"4,500,000 주",100 원,"신주모집 : 4,500,000 주 (100%)","2,000 ~ 2,000 원",,- 원,"9,000 (백만원)",하나증권,"1,125,000~1,350,000 주","80,000~100,000 주",2023.06.19 ~  2023.06.20,주,100%,"3,150,000~3,375,000 주 (70~75%)",- 주,100%,,0.00%
7,필에너지,공모주,코스닥,378340,기타 특수목적용 기계 제조업,김광일,중소일반,경기도 오산시 지곶중앙로 1-19 (세교동),,031-292-8321,필에너지 80%,"165,152 (백만원)","6,525 (백만원)","5,783 (백만원)","3,750 (백만원)","2,812,500 주",500 원,"신주모집 : 2,812,500 주 (100%)","26,300 ~ 30,000 원",,- 원,"73,968 (백만원)","미래에셋증권,삼성증권","703,125~843,750 주","5,000~6,000 주",2023.06.19 ~  2023.06.20,"196,875 주  (7%)",100%,"1,771,875~1,912,500 주 (70~75%)",- 주,50%,,0.00%
8,KB스팩24호,공모주,코스닥,449030,금융 지원 서비스업,유승운,중소일반,서울특별시 강남구 테헤란로82길 15,,,TS인베스트먼트 33%,- (백만원),0 (백만원),- (백만원),"1,495 (백만원)","3,200,000 주",500 원,"신주모집 : 3,200,000 주 (100%)","10,000 ~ 10,000 원",,- 원,"32,000 (백만원)",케이비증권,"800,000 주","25,000 주",2023.06.19 ~  2023.06.20,주,100%,"2,400,000 주 (75%)",- 주,100%,,0.00%
9,NH스팩29호,공모주,코스닥,451700,금융 지원 서비스업,박준우,중소일반,서울특별시 영등포구 여의대로 108,,,티에스인베스트먼트 63%,- (백만원),0 (백만원),- (백만원),160 (백만원),"12,750,000 주",100 원,"신주모집 : 12,750,000 주 (100%)","2,000 ~ 2,000 원",,- 원,"25,500 (백만원)",NH투자증권,"3,187,500~3,825,000 주","318,750~382,500 주",2023.06.13 ~  2023.06.14,주,100%,"8,925,000~9,562,500 주 (70~75%)",- 주,100%,,0.00%
10,하이스팩8호,공모주,코스닥,450050,금융 지원 서비스업,정우주,중소일반,서울특별시 영등포구 여의대로 66,,,에이씨피씨외 65%,- (백만원),0 (백만원),- (백만원),76 (백만원),"4,250,000 주",100 원,"신주모집 : 4,250,000 주 (100%)","2,000 ~ 2,000 원",,- 원,"8,500 (백만원)",하이투자증권,"1,062,500 주","106,250 주",2023.06.13 ~  2023.06.14,주,100%,"3,187,500 주 (75%)",- 주,100%,,0.00%
11,시큐센,공모주,코스닥,232830,소프트웨어 개발 및 공급업,이정주,중소일반,"서울특별시 영등포구 가마산로 343(대림동, 콤텍빌딩 3층)",www.secucen.com,02-3497-6980,콤텍시스템 30%,"21,923 (백만원)",478 (백만원),478 (백만원),"4,754 (백만원)","1,948,000 주",500 원,"신주모집 : 1,948,000 주 (100%)","2,000 ~ 2,400 원",,- 원,"3,896 (백만원)",신한투자증권,"487,000~584,400 주","10,000~12,000 주",2023.06.13 ~  2023.06.14,주,100%,"1,363,600~1,461,000 주 (70~75%)",- 주,50%,,0.00%
12,KB스팩25호,공모주,코스닥,455250,금융 지원 서비스업,이현석,중소일반,"서울특별시 영등포구 여의대방로67길 10, 405호",,,에이씨피씨 98%,- (백만원),0 (백만원),- (백만원),30 (백만원),"4,000,000 주",100 원,"신주모집 : 4,000,000 주 (100%)","2,000 ~ 2,000 원",,- 원,"8,000 (백만원)",케이비증권,"1,000,000 주","30,000 주",2023.06.13 ~  2023.06.14,주,100%,"3,000,000 주 (75%)",- 주,100%,,0.00%
13,프로테옴텍,공모주,코스닥,303360,의료용품 및 기타 의약 관련제품 제조업,임국진,중소일반,서울특별시 강서구 양천로 401 강서한강자이타워 A동 702호,www.proteometech.com,02-6968-5277,임국진 27%,"5,934 (백만원)",-772 (백만원),-772 (백만원),"5,613 (백만원)","2,000,000 주",500 원,"신주모집 : 2,000,000 주 (100%)","5,400 ~ 6,600 원",,- 원,"10,800 (백만원)",키움증권,"500,000~600,000 주","32,000~40,000 주",2023.06.07 ~  2023.06.08,"60,000 주  (3%)",100%,"1,340,000~1,500,000 주 (67~75%)",- 주,50%,,0.00%
14,이노시뮬레이션,공모주,코스닥,274400,소프트웨어 개발 및 공급업,조준희,중소일반,서울특별시 강서구 마곡중앙8로7길 5,www.innosim.com,02-304-9500,조준희 23%,"21,868 (백만원)","-3,408 (백만원)","-3,188 (백만원)","3,446 (백만원)","900,000 주",500 원,"신주모집 : 900,000 주 (100%)","13,000 ~ 15,000 원",,- 원,- (백만원),하나증권,"225,000~270,000 주","11,000~12,000 주",2023.06.07 ~  2023.06.08,"14,823 주  (1.65%)",100%,"615,177~660,177 주 (68.35~73.35%)",- 주,50%,,0.00%
